TITULO:,CATÁLOGO
BERGHAHN BOOKS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BERKELEY UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"BERLINER GESELLSCHAFT FUR ANTHROPOLOGIE, ETHNOLOGIE UND URGESCHICHTE",<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BESANÇON (FRANCHE-COMTÉ),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BIBLIOTECA CASTRO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BIBLIOTECA NUEVA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BIBLIOTHÈQUE DE L’ÉCOLE DES CHARTES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BIELEFELD UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BIRKBECK LAW PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BIRKHAUSER,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BIRKHAUSER BOSTON,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BIRKHAUSER BOSTON,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BIRKHAUSER VERLAG,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BIRKHAUSER VERLAG AG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BIRKHAUSER VERLAG BASEL,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BLACK DOME PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BLACKWELL PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BLACKWELL SCIENCE PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BLOOMSBURY,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BLOOMSBURY ACADEMIC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BLOOMSBURY EDUCATION,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BLOOMSBURY METHUEN DRAMA,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BLOOMSBURY PUBL INC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BLOOMSBURY T & T CLARK,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BLOOMSBURY VISUAL ARTS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BLOOMSBURY WILDLIFE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BÖHLAU VERLAG GMBH AND CIE,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BOHN STAFLEU VAN LOGHUM,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BOLETÍN OFICIAL DEL ESTADO (BOE),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BOLYAI JANOS MATEMATIKA TARSULAT,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BOMARZO,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BONILLA ARTIGAS EDITORES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BOSCH (ARANZADI LA LEY / KARNOV GROUP),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BOSQUE UNIV,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BOTANIC GARDEN MEISE-JARDIN BOTANIQUE MEISE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BOYDELL AND BREWER LTD,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BOYDELL PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BRANDEIS UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BRAZILIAN JOURNALS PUBLICAÇÕES DE PERIÓDICOS E EDITORA LTDA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BREPOLS PUBLISHERS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BREPOLS PUBLISHERS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BRILL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BRILL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BRILL,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BRILL ACADEMIC PUBLISHERS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BRILL NIJHOFF,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BRILL RODOPI,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BRILL SENSE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BRISTOL UNIV PR,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BRISTOL UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BRITISH FILM INST,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BRITISH PSYCHOLOGICAL SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BRITISH PSYCHOLOGICAL SOCIETY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BROOKINGS INST,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BROOKINGS INSTITUTION PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
BROOKS / COLE PUBL CO,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BRUYLANT (LARCIER GROUP),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"BULGARIAN ACAD SCIENCES, INST BALKAN STUDIES & CENTRE THRACOLOGY",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BULLETIN ASIA INST,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BULZONI EDITORE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BURKE MUSEUM NATURAL HISTORY & CULTURE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BURLEIGH DODDS SCIENCE PUBLISHING LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
BUSKE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
BUTTERWORTH-HEINEMANN,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
C E R N,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
C P GILLETTE MUSEUM ARTHROPOD DIVERSITY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
C. H. BECK,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
C.F. MÜLLER,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CA PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CABI INTERNATIONAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CABI PUBLISHING-C A B INT,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CACUCCI EDITORE,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CAHIERS DU CINÉMA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CAISTER ACADEMIC PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CAJA NEGRA EDITORES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CALAMBUR EDITORIAL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CALIFORNIA UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CAMBRIDGE INTERNATIONAL SCIENCE PUBLISHING,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CAMBRIDGE PHILOLOGICAL SOC,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CAMBRIDGE SCHOLARS PUBLISHING LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CAMBRIDGE UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CAMBRIDGE UNIVERSITY PRESS,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
CAMBRIDGE UNIVERSITY PRESS,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CAMEL PUBLISHING HOUSE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CAMPUS VERLAG,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CAPITÁN SWING,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CARL HEYMANNS VERLAG,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CARMELITE PUBL HOUSE LTD,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CAROCCI,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CASA DE VELAZQUEZ,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
CASA DE VELÁZQUEZ,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CASA EDITRICE LEO S. OLSCHKI,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
CASA EDITRICE SCIENTIFICA INTERNAZIONALE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CASTALIA,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
"CÁTEDRA (GRUPO ANAYA, HACHETTE LIVRE)",<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CATENA SOIL SCIENCES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CBS-KNAW FUNGAL BIODIVERSITY CENTRE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CEDAM (WOLTERS KLUWER),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENAA-CENTRE EUROPEAN & NORTH ATLANTIC AFFAIRS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CENDEAC,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENTER BASQUE STUDIES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CENTER PHILOSOPHY SCIENCES UNIV LISBON,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CENTER STUDY DEMOCRACY,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CENTER TAXATION RESEARCH COLOMBIAN INST TAX LAW,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CENTRAL EUROPEAN UNIV PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CENTRE DE RECHERCHE DE L'UNIVERSITE DE PARIS 8,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
CENTRE FOR ECONOMIC POLICY RESEARCH,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
CENTRE FOR STUDIES IN SOCIAL SCIENCES,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
CENTRE INFORMATION STUDIES,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE (CNRS),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENTRO DE DOCUMENTACIÓN DE ARQUITECTURA LATINOAMERICANA (CEDODAL),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENTRO DE EDICIONES DE LA DIPUTACIÓN DE MÁLAGA (CEDMA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENTRO DE ESTUDIOS ANDALUCES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENTRO DE ESTUDIOS MUNICIPALES Y COOPERACIÓN INTERNACIONAL (CEMCI),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENTRO DE ESTUDIOS POLÍTICOS Y CONSTITUCIONALES (CEPC),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENTRO DE ESTUDIOS RAMÓN ARECES (CEURA),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENTRO DE ESTUDIOS REGISTRALES,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENTRO DE INVESTIGACIONES SOCIOLÓGICAS (CIS),<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CENTRO EDITORIALE DEHONIANO,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
CENTRUM PRO STUDIUM DEMOKRACIE & KULTURY-CDK,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CHANDOS PUBL,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CHANNEL VIEW PUBLICATIONS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CHAPMAN & HALL,<a class=a href='http://ilia.cchs.csic.es/SPI/buscador_spi.php' target=_blank style=color:blue>SPI (Scholarly Publishers Indicators)</a>
CHAPMAN & HALL/CRC PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CHARLES UNIV PRAGUE,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
"CHARLES UNIV, FAC SCIENCE",<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CHARTERED INST MANAGEMENT ACCOUNTANTS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CHEMICAL INDUSTRY PRESS,<a class=a href='http://wokinfo.com/mbl/publishers/' target=_blank style=color:blue>Book Citation Index</a>
CHEMICAL SOCIETY,<a class=a href='https://www.scopus.com/home.uri' target=_blank style=color:blue>Scopus</a>
